,video_id,time,class,ball.x,ball.y,player1.x,player1.y,player2.x,player2.y,player3.x,player3.y,player4.x,player4.y,player5.x,player5.y
244,1606b0e6_0,200.28,ball_action_forced,53.46875,729.5,52.71875,729.0,163.75,704.5,175.375,507.5,126.25,484.25,134.75,424.5
245,1606b0e6_0,200.32,ball_action_forced,358.25,328.25,346.75,380.5,305.5,369.5,420.0,254.25,218.0,334.75,285.25,455.0
246,1606b0e6_0,200.36,ball_action_forced,351.75,333.0,346.25,381.25,308.25,367.5,422.75,254.125,222.25,334.5,286.75,454.5
247,1606b0e6_0,200.4,ball_action_forced,344.25,336.75,348.0,381.25,310.5,366.5,427.5,254.25,226.0,332.5,294.5,455.25
248,1606b0e6_0,200.44,ball_action_forced,336.75,342.0,312.25,365.75,354.25,382.25,231.0,333.25,300.5,456.25,433.0,254.875
249,1606b0e6_0,200.48,ball_action_forced,330.5,347.0,316.75,365.25,354.75,383.75,234.25,331.75,300.75,455.75,436.75,254.25
250,1606b0e6_0,200.64,ball_action_forced,302.0,370.75,319.75,361.5,354.25,387.25,249.375,333.5,311.5,454.5,160.125,417.25
251,1606b0e6_0,200.68,ball_action_forced,295.75,377.0,324.5,360.75,254.5,334.0,356.75,387.0,314.75,455.5,164.25,416.0
252,1606b0e6_0,200.72,ball_action_forced,289.25,383.75,330.25,359.75,258.25,334.0,361.0,388.75,320.25,455.75,168.75,415.0
253,1606b0e6_0,200.76,ball_action_forced,283.25,390.75,330.25,359.5,262.75,333.75,328.0,455.75,366.25,389.0,173.25,414.25
254,1606b0e6_0,200.8,ball_action_forced,277.0,398.5,266.25,333.75,332.0,359.75,333.5,457.75,366.25,390.0,177.625,414.5
255,1606b0e6_0,200.84,ball_action_forced,272.25,404.5,267.5,333.75,337.25,360.0,338.25,457.25,182.625,414.25,368.25,390.0
256,1606b0e6_0,200.88,ball_action_forced,267.5,412.5,270.25,333.25,187.625,413.75,343.0,456.75,344.0,359.75,206.0,491.5
257,1606b0e6_0,200.92,ball_action_forced,0.546875,630.0,10.6796875,703.5,171.375,692.0,198.875,477.25,212.875,487.75,273.25,707.0
258,1606b0e6_0,200.96,ball_action_forced,11.6796875,626.0,135.875,707.5,180.375,687.5,206.375,473.25,219.25,484.0,281.25,703.0
259,1606b0e6_0,201.0,ball_action_forced,22.984375,623.0,189.875,684.5,211.875,472.25,224.625,481.25,199.375,412.75,289.5,700.5
260,1606b0e6_0,201.04,ball_action_forced,35.46875,619.0,42.03125,691.5,155.375,699.5,199.25,680.0,218.875,470.5,206.0,411.0
261,1606b0e6_0,201.08,ball_action_forced,47.65625,616.5,226.625,467.75,251.875,448.75,215.25,410.25,306.25,693.5,0.078125,276.25
262,1606b0e6_0,201.12,ball_action_forced,59.0625,612.5,173.5,691.5,218.75,672.0,233.75,466.0,222.375,409.0,314.0,690.5
263,1606b0e6_0,201.16,ball_action_forced,71.375,609.0,229.625,668.5,241.625,463.0,230.375,407.75,323.5,687.0,345.25,669.0
264,1606b0e6_0,201.2,ball_action_forced,83.75,606.0,0.11328125,616.5,195.125,683.5,239.5,665.0,250.0,461.5,239.25,406.5
265,1606b0e6_0,201.24,ball_action_forced,95.3125,602.5,1.03125,604.0,250.25,661.0,256.75,461.5,246.625,404.25,340.5,680.5
266,1606b0e6_0,201.28,ball_action_forced,106.5625,600.0,11.015625,600.0,259.25,657.0,261.75,461.5,252.625,403.0,349.0,677.5
267,1606b0e6_0,201.32,ball_action_forced,116.0625,597.5,109.4375,662.5,22.96875,597.5,202.375,718.0,268.0,653.5,267.0,461.5
268,1606b0e6_0,201.36,ball_action_forced,124.0625,596.5,113.5,662.0,29.984375,595.5,229.75,673.5,207.125,717.5,223.0,721.0
269,1606b0e6_0,201.4,ball_action_forced,127.5,596.0,116.375,662.0,153.375,673.5,34.375,594.5,234.125,674.0,211.125,716.5
270,1606b0e6_0,201.44,ball_action_forced,130.625,596.5,119.625,639.5,117.1875,661.0,154.125,673.0,37.09375,593.5,235.375,673.5
